"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Stroke (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:23:31",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
73,0.0027130435,0.0686335053,0,0.0012529967,0.0039381734,0.0501694739,6.1379E-06,0.0250684649,9.7511593191,0.0012578325,2.3799470612,73.5
74,0.0028569565,0.0720736506,0,0.0015209994,0.0041141606,0.0537190254,6.1379E-06,0.0275513599,9.1684999464,0.0014802216,2.3587494212,74.5
75,0.0030008696,0.0752702297,0,0.0017890022,0.0042836071,0.057234212,6.1379E-06,0.0303705872,8.6017245596,0.0017384572,2.3411219254,75.5
76,0.0031447826,0.0782091521,0,0.0020570049,0.0044575553,0.0606654667,6.1379E-06,0.033730222,8.0518918066,0.0020465151,2.333314794,76.5
77,0.0032886957,0.0808849556,0,0.0023250077,0.0046360053,0.0639593048,0.000006138,0.0376302646,7.52023598,0.0024070967,2.3315315452,77.5
78,0.0034326087,0.0832996458,0,0.002877197,0.0048189571,0.0670591233,6.1381E-06,0.0420707147,7.0073469267,0.0028215481,2.3321761793,78.5
79,0.0035765217,0.0854612925,0,0.0034293864,0.0050064106,0.0699067203,6.1382E-06,0.0470515725,6.5135585635,0.0032895646,2.3293005878,79.5
80,0.0037204348,0.0873825605,0,0.0039815757,0.0051983659,0.0724441208,6.1383E-06,0.0525728379,6.039419983,0.003808936,2.3168984708,80.5
81,0.0038643478,0.0890793068,0,0.0045337651,0.0054087777,0.0746034336,6.1384E-06,0.0591861615,5.5874964083,0.0044157963,2.3019737992,81.5
82,0.0040082609,0.0905693365,0,0.0050859544,0.0056376461,0.0763071867,6.1383E-06,0.0668915433,5.1625831079,0.0051045073,2.2757591884,82.5
83,0.0041521739,0.0918713632,0,0.0061404333,0.0058849711,0.0774840068,6.1382E-06,0.0756889833,4.7702532611,0.0058646789,2.2355584347,83.5
84,0.004296087,0.0930041881,0,0.0071949122,0.0061507526,0.0780737809,0.000006138,0.0855784814,4.4151494138,0.0066810673,2.1959529813,84.5
85,0.00444,0.0939860894,0,0.0082493911,0.0064349907,0.078032939,6.1377E-06,0.0965600378,4.0982159592,0.0075339264,2.174460375,85.5
