sex,age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,73,114800,117900,130100,134300,139200,143900,146400,149100,151700,154900,159504,160285,161005,159213,161080,163699,164520,161773,153113,141317,124673,130518,195202,186812,178895,170336,168853,168953,170699,169893,167934,170460,173494,175707,175232,172139,172336,179546,183094,187365,192255,192681
1,74,105000,106200,109300,120400,124500,129100,133700,136300,138700,141700,144404,148922,149949,150824,149350,151272,154126,155104,152558,144662,133715,118053,124290,184457,177395,169893,162073,160968,161112,162821,162805,160873,163385,166591,169278,168944,166327,166958,174089,177620,181894,187160
1,75,95100,96700,97800,100500,110600,114700,119200,123500,126100,128800,130390,134113,138365,139754,140717,139288,141293,144518,145837,143210,136095,125867,111297,117664,173945,167802,160723,153590,152610,152917,155105,155205,153582,156256,160031,162578,162815,160330,161349,168613,171911,176513
1,76,87000,86800,88200,89400,91600,101400,105000,109500,113400,116600,119291,120251,123920,128064,129374,130041,129332,131533,134847,136005,134059,127423,118008,104123,111217,163087,158003,151784,144985,144221,145175,147096,147338,146164,149004,153056,155884,156386,154034,155507,162735,166147
1,77,77400,79300,78500,80200,81400,83300,92200,95600,99600,103800,106392,109225,110198,113783,117562,118616,120121,119473,121979,124950,126359,124484,118053,109747,97134,104622,152147,148422,142458,136193,136227,136824,138887,139375,138752,141895,146015,148994,149667,147593,149477,156599
1,78,70300,69700,71300,70600,72200,73100,75300,83100,86400,90500,94193,96503,99146,100382,103807,107134,108938,110124,109712,112271,115090,116427,114879,109418,101727,90022,98123,141550,138564,132843,127757,127754,128429,130683,131382,131213,134555,138858,141964,143097,140940,143245
1,79,61500,62700,62100,63800,63000,64500,65700,67500,74300,77500,81792,84772,87004,89559,90697,93666,97824,99262,100486,100077,102587,105555,106920,105546,100586,93571,83092,91926,130553,128707,123877,119101,119122,120086,122315,123626,123770,127148,131385,134743,136064,134522
1,80,55100,54600,55500,55200,56800,55500,57400,58200,59900,66200,69688,72848,76039,78450,80643,81617,85117,88094,89724,90749,90560,93128,96189,96979,96365,91561,85630,76393,85594,119588,119309,114347,110295,110419,111833,114257,115676,116061,119528,124054,127395,128944
1,81,47600,48500,47700,48600,48400,49700,49000,50200,51200,52700,59190,61646,64376,67497,69611,71640,72629,75846,78837,80063,81469,81537,84110,86280,87749,87045,82770,77828,69735,79379,109314,109168,104995,101391,101933,103584,106199,107716,108085,111833,116429,119868
1,82,41600,41400,42100,41300,42100,41800,43400,42800,43800,44700,46192,51659,53952,56533,59441,61189,63343,64241,67374,69777,71276,72655,72815,75049,77263,78517,78245,74705,70151,63049,73607,98820,99063,95743,92885,93583,95382,97959,99490,100321,104119,108657
1,83,34900,35700,35200,36200,35100,35900,35900,37400,36700,37600,37993,39905,44522,46912,48994,51603,53367,55433,56333,58702,61344,62870,64365,64391,66454,68426,69697,69805,66429,62542,56700,66791,88554,89142,86752,84452,85365,87254,89972,91606,92560,96281
1,84,28600,29600,30300,29600,30400,29300,30400,30400,31900,31100,31794,32538,34089,38147,40147,41968,44608,46124,48017,48513,50886,53437,54959,56042,56349,58146,60159,61453,61492,58440,55686,50549,60170,78418,79522,78225,76362,77391,78992,82072,83689,84509
1,85,24300,23900,24700,25300,24800,25500,24300,25400,25500,26900,26299,26967,27650,28854,32215,33980,35799,38078,39611,40939,41466,43632,46200,46992,48457,48612,50526,52426,53320,53608,50963,48841,44318,53798,68828,70396,69928,68248,69330,71178,74160,75946
1,86,19800,19900,19400,20200,20900,20300,21100,20000,21100,20900,21599,22073,22635,23258,23972,26796,28552,29963,32100,33168,34573,35290,37354,38988,40203,41291,41513,43457,45085,45758,46506,43992,42504,38308,47639,59925,61541,61786,60365,61786,63615,66308
1,87,15500,16000,16000,15800,16300,16900,16600,17300,16000,17200,16999,17711,18187,18712,19181,19726,22161,23499,24960,26431,27245,29029,29748,31065,32987,33705,34769,35222,36877,38207,39124,39748,37412,36283,32832,41963,51389,53358,53855,53094,54463,56299
1,88,12400,12300,12700,12700,12500,13000,13500,13300,14000,12700,13799,13823,14320,14928,15325,15659,16163,18082,19145,20293,21556,22419,24049,24273,25759,27140,27942,29018,29264,30800,32081,32969,33611,31295,30597,27885,36742,43171,45268,46695,46119,47481
1,89,9700,9800,9500,9900,9800,9700,10200,10700,10500,11400,10500,10954,10992,11546,12063,12285,12588,12994,14428,15094,16339,17426,18431,19423,19961,20904,22134,23005,23689,24042,25543,26419,27297,27942,25825,25575,23318,31900,35692,37994,39749,39413
1,90+,24800,25700,26000,26300,26700,27000,27300,28100,29300,30200,29898,29573,29973,30485,31559,32670,34324,35405,36701,37668,39452,42601,46659,49009,52571,55232,58214,62490,65821,68952,72816,76615,80152,83979,87535,88916,90148,88472,94979,103509,111803,121248
2,0,359300,338800,315300,292100,280800,268600,256400,260900,283300,293300,292064,285035,286264,286897,298578,301034,306160,315901,313569,316205,323603,319145,307923,307405,298621,293377,299306,291540,288406,280606,272780,272997,280073,290740,296221,304413,313225,325959,323699,327860,331210,339662
2,1,348300,357800,336000,313500,290800,279500,266800,255900,260200,282200,292206,289851,284209,286401,286516,299029,300392,304999,315361,312731,315512,322663,318046,306941,307126,297730,293339,298745,291946,287515,278954,274013,273085,279347,291029,296063,305681,313595,325949,323102,327248,333659
2,2,365500,347300,356800,334100,312100,289700,278000,266600,255600,259900,282406,291842,289498,284532,286431,286750,299309,300538,305190,315217,313252,315499,322255,317745,307064,306471,297259,293678,299261,291841,285906,280553,275033,272819,280176,290946,296308,307080,314331,325899,323562,329489
2,3,367300,364200,346700,355200,332200,310900,288100,277600,266400,254900,259305,281832,291480,289999,285570,287850,288109,300487,301931,306381,316606,313543,315675,322358,317657,307096,306016,297083,294748,299317,291065,287812,281669,275732,273770,280470,291173,296481,308585,314839,326729,325391
