"age","sex","qimd","year","pop"
19,"2","2","2002",56822
20,"2","2","2002",52038
21,"2","2","2002",52038
22,"2","2","2002",52038
23,"2","2","2002",52038
24,"2","2","2002",52038
25,"2","2","2002",56063.3999999999
26,"2","2","2002",56063.4000000001
27,"2","2","2002",56063.3999999999
28,"2","2","2002",56063.4000000001
29,"2","2","2002",56063.3999999999
30,"2","2","2002",72170.2
31,"2","2","2002",72170.2
32,"2","2","2002",72170.2000000002
33,"2","2","2002",72170.2
34,"2","2","2002",72170.2
35,"2","2","2002",80357.3999999999
36,"2","2","2002",80357.3999999999
37,"2","2","2002",80357.4000000004
38,"2","2","2002",80357.3999999999
39,"2","2","2002",80357.3999999999
40,"2","2","2002",74727.3999999999
41,"2","2","2002",74727.3999999999
42,"2","2","2002",74727.3999999999
43,"2","2","2002",74727.4000000004
44,"2","2","2002",74727.3999999999
45,"2","2","2002",68620.3999999999
46,"2","2","2002",68620.3999999999
47,"2","2","2002",68620.3999999999
48,"2","2","2002",68620.4000000004
49,"2","2","2002",68620.3999999999
50,"2","2","2002",72885.6000000001
51,"2","2","2002",72885.5999999996
52,"2","2","2002",72885.6000000001
53,"2","2","2002",72885.6000000001
54,"2","2","2002",72885.6000000001
55,"2","2","2002",71189
56,"2","2","2002",71189
57,"2","2","2002",71189
58,"2","2","2002",71189
59,"2","2","2002",71189
60,"2","2","2002",53999
61,"2","2","2002",53999
62,"2","2","2002",53999
63,"2","2","2002",53999
64,"2","2","2002",53999
65,"2","2","2002",48862.6000000001
66,"2","2","2002",48862.6000000001
67,"2","2","2002",48862.5999999996
68,"2","2","2002",48862.6000000006
69,"2","2","2002",48862.5999999996
70,"2","2","2002",44998.2000000002
71,"2","2","2002",44998.2000000002
72,"2","2","2002",44998.1999999993
73,"2","2","2002",44998.2000000002
74,"2","2","2002",44998.2000000002
75,"2","2","2002",38944.5999999996
76,"2","2","2002",38944.6000000006
77,"2","2","2002",38944.5999999996
78,"2","2","2002",38944.5999999996
79,"2","2","2002",38944.6000000006
80,"2","2","2002",30589
81,"2","2","2002",30589
82,"2","2","2002",30589
83,"2","2","2002",30589
84,"2","2","2002",30589
85,"2","2","2002",18509.5999999996
86,"2","2","2002",18509.6000000006
87,"2","2","2002",18509.5999999996
88,"2","2","2002",18509.5999999996
89,"2","2","2002",18509.6000000006
90,"2","2","2002",11047.5999999996
91,"2","2","2002",11047.6000000006
92,"2","2","2002",11047.5999999996
93,"2","2","2002",11047.5999999996
94,"2","2","2002",11047.6000000006
95,"2","2","2002",11047.5999999996
96,"2","2","2002",11047.6000000006
97,"2","2","2002",11047.5999999996
98,"2","2","2002",11047.5999999996
99,"2","2","2002",11047.6000000006
100,"2","2","2002",11047.6672137287
0,"2","3","2002",49656
1,"2","3","2002",51770.25
2,"2","3","2002",51770.25
3,"2","3","2002",51770.25
4,"2","3","2002",51770.25
5,"2","3","2002",55679.8
6,"2","3","2002",55679.8
7,"2","3","2002",55679.8
8,"2","3","2002",55679.8
9,"2","3","2002",55679.8
10,"2","3","2002",59499.4
11,"2","3","2002",59499.4
12,"2","3","2002",59499.4
13,"2","3","2002",59499.3999999999
14,"2","3","2002",59499.4
15,"2","3","2002",56739.4
16,"2","3","2002",56739.4
17,"2","3","2002",56739.4
18,"2","3","2002",56739.4
19,"2","3","2002",56739.3999999999
20,"2","3","2002",60381.6000000001
21,"2","3","2002",60381.5999999999
22,"2","3","2002",60381.6000000001
23,"2","3","2002",60381.5999999999
24,"2","3","2002",60381.6000000001
25,"2","3","2002",64991.3999999999
26,"2","3","2002",64991.4000000001
27,"2","3","2002",64991.3999999999
28,"2","3","2002",64991.4000000001
29,"2","3","2002",64991.3999999999
30,"2","3","2002",76168
31,"2","3","2002",76168
32,"2","3","2002",76168
33,"2","3","2002",76168
34,"2","3","2002",76168
35,"2","3","2002",78443.7999999998
36,"2","3","2002",78443.8000000003
37,"2","3","2002",78443.7999999998
38,"2","3","2002",78443.8000000003
39,"2","3","2002",78443.7999999998
40,"2","3","2002",71152.3999999999
41,"2","3","2002",71152.3999999999
42,"2","3","2002",71152.4000000004
43,"2","3","2002",71152.3999999999
44,"2","3","2002",71152.3999999999
45,"2","3","2002",64190
46,"2","3","2002",64190
47,"2","3","2002",64190
48,"2","3","2002",64190
49,"2","3","2002",64190
50,"2","3","2002",66714.3999999999
51,"2","3","2002",66714.3999999999
52,"2","3","2002",66714.4000000004
53,"2","3","2002",66714.3999999999
54,"2","3","2002",66714.3999999999
55,"2","3","2002",64452.6000000001
56,"2","3","2002",64452.6000000001
57,"2","3","2002",64452.5999999996
58,"2","3","2002",64452.6000000001
59,"2","3","2002",64452.6000000001
60,"2","3","2002",50954.2000000002
61,"2","3","2002",50954.1999999997
62,"2","3","2002",50954.2000000002
63,"2","3","2002",50954.1999999997
64,"2","3","2002",50954.2000000002
65,"2","3","2002",47035
66,"2","3","2002",47035
67,"2","3","2002",47035
68,"2","3","2002",47035
69,"2","3","2002",47035
70,"2","3","2002",44399.2000000002
71,"2","3","2002",44399.2000000002
72,"2","3","2002",44399.1999999993
73,"2","3","2002",44399.2000000002
74,"2","3","2002",44399.2000000002
75,"2","3","2002",39904.4000000004
76,"2","3","2002",39904.3999999994
77,"2","3","2002",39904.4000000004
78,"2","3","2002",39904.3999999994
79,"2","3","2002",39904.4000000004
80,"2","3","2002",31889.4000000004
81,"2","3","2002",31889.3999999994
82,"2","3","2002",31889.4000000004
83,"2","3","2002",31889.3999999994
84,"2","3","2002",31889.4000000004
85,"2","3","2002",19385.5999999996
86,"2","3","2002",19385.6000000006
87,"2","3","2002",19385.5999999996
88,"2","3","2002",19385.6000000006
89,"2","3","2002",19385.5999999996
90,"2","3","2002",11504.7999999998
91,"2","3","2002",11504.7999999998
92,"2","3","2002",11504.8000000007
93,"2","3","2002",11504.7999999998
94,"2","3","2002",11504.7999999998
95,"2","3","2002",11504.7999999998
96,"2","3","2002",11504.7999999998
97,"2","3","2002",11504.8000000007
98,"2","3","2002",11504.7999999998
99,"2","3","2002",11504.7999999998
100,"2","3","2002",11504.8709892025
0,"2","4","2002",56448
1,"2","4","2002",56826.25
2,"2","4","2002",56826.25
3,"2","4","2002",56826.25
4,"2","4","2002",56826.25
5,"2","4","2002",59808.8
6,"2","4","2002",59808.8
7,"2","4","2002",59808.8
8,"2","4","2002",59808.8
9,"2","4","2002",59808.8
10,"2","4","2002",62872
11,"2","4","2002",62872
12,"2","4","2002",62872
13,"2","4","2002",62872
14,"2","4","2002",62872
15,"2","4","2002",60435.2
16,"2","4","2002",60435.2000000001
17,"2","4","2002",60435.2000000001
18,"2","4","2002",60435.2
19,"2","4","2002",60435.2
20,"2","4","2002",71571.6000000001
21,"2","4","2002",71571.5999999999
22,"2","4","2002",71571.6000000001
23,"2","4","2002",71571.5999999999
24,"2","4","2002",71571.6000000001
25,"2","4","2002",75026.6000000001
26,"2","4","2002",75026.5999999999
27,"2","4","2002",75026.6000000001
28,"2","4","2002",75026.6000000001
29,"2","4","2002",75026.5999999999
30,"2","4","2002",82557.2
31,"2","4","2002",82557.2
32,"2","4","2002",82557.2000000002
33,"2","4","2002",82557.1999999997
34,"2","4","2002",82557.2000000002
35,"2","4","2002",79672.3999999999
36,"2","4","2002",79672.3999999999
37,"2","4","2002",79672.4000000004
38,"2","4","2002",79672.3999999999
39,"2","4","2002",79672.3999999999
40,"2","4","2002",68789.7999999998
41,"2","4","2002",68789.8000000003
42,"2","4","2002",68789.7999999998
43,"2","4","2002",68789.8000000003
44,"2","4","2002",68789.7999999998
45,"2","4","2002",59166.3999999999
