site,sex,Under 1,1­4,5­9,10­14,1519,2024,2529,3034,3539,4044,4549,5054,5559,6064,6569,7074,7579,8084,85 and over
D38          ,2,,,,,1,2,4,1,2,4,4,6,7,8,11,14,13,13,11
D39          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D39          ,2,,2,1,4,12,14,28,34,27,44,48,44,34,37,33,25,23,18,20
D40          ,1,,1,1,1,5,7,7,9,3,3,4,3,5,5,5,5,7,3,3
D40          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D41          ,1,5,,,,4,6,8,16,25,68,104,180,237,498,597,704,668,583,381
D41          ,2,1,,,1,3,2,4,7,12,18,17,56,104,173,202,223,238,200,173
D42          ,1,,,,,1,,1,1,1,3,6,9,4,6,9,10,11,4,2
D42          ,2,,1,,,1,3,1,3,3,6,7,7,11,9,13,11,8,9,4
D43          ,1,3,9,13,10,13,6,5,6,11,14,19,7,8,19,23,30,27,38,34
D43          ,2,2,4,8,10,3,16,10,3,9,10,6,10,8,12,8,14,26,37,52
D44          ,1,,,,4,6,1,3,6,9,13,5,9,8,8,14,7,1,3,6
D44          ,2,,3,2,9,6,4,9,12,7,8,6,8,11,11,10,12,8,8,9
D45          ,1,1,,,1,1,6,4,7,18,35,42,37,64,82,70,46,52,38,30
D45          ,2,1,,,,,,2,5,3,7,12,16,27,51,26,31,39,45,41
D46          ,1,,,2,1,3,1,1,2,8,6,15,28,31,82,118,180,276,266,319
D46          ,2,,,1,,2,1,5,2,4,13,18,24,18,45,69,98,163,179,335
D47          ,1,5,1,1,4,3,3,5,15,10,17,35,48,68,109,125,145,182,164,134
D47          ,2,,1,1,,5,7,11,11,18,22,47,52,68,94,129,138,158,136,194
D48          ,1,5,3,7,6,9,16,18,20,15,26,24,21,30,38,36,44,56,70,76
D48          ,2,4,4,3,4,18,21,22,29,42,57,54,67,50,42,40,30,20,22,41
