site,sex,Under 1,1ğ4,5ğ9,10ğ14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
C34          ,2,1,0,0,0,1,8,9,31,33,117,299,573,1083,1751,2556,2653,2583,2348,2293
C37          ,1,0,0,0,0,0,0,1,1,4,3,4,0,8,14,9,11,5,3,2
C37          ,2,0,0,0,0,0,0,0,0,1,3,3,6,5,5,5,3,6,2,3
C38          ,1,2,2,2,1,0,7,2,1,4,2,7,4,7,7,11,16,16,10,15
C38          ,2,1,1,1,0,0,1,1,0,1,2,5,5,4,3,10,7,5,8,9
C39          ,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,4
C39          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
C40          ,1,0,1,7,8,12,7,5,7,7,6,6,7,5,3,6,6,6,5,3
C40          ,2,0,1,4,7,10,2,4,4,3,7,8,8,5,7,3,4,4,0,3
C41          ,1,0,0,2,6,5,8,6,6,3,7,10,4,9,13,12,13,11,7,11
C41          ,2,0,2,1,4,8,7,4,2,2,5,5,7,4,8,10,7,5,3,4
C43          ,1,1,0,1,2,11,46,81,121,213,250,357,357,440,631,762,662,652,505,443
C43          ,2,0,1,1,4,23,89,148,258,317,422,505,444,485,563,615,499,484,384,504
C44          ,1,0,0,0,4,9,24,90,166,331,736,1242,1666,2343,3971,6020,6735,7737,6996,6822
C44          ,2,2,2,4,2,15,32,126,263,428,848,1329,1627,1970,2965,4163,4294,4861,4982,6938
C45          ,1,0,0,0,0,0,0,2,1,1,5,14,20,60,181,316,379,380,304,218
C45          ,2,0,0,0,0,0,1,0,1,2,2,7,9,23,33,82,78,98,70,60
C46          ,1,0,0,0,0,1,1,10,12,10,13,20,11,7,7,2,4,3,3,2
C46          ,2,0,0,0,0,0,0,2,2,1,3,1,1,0,1,0,1,1,1, 
C47          ,1,1,0,1,0,2,4,0,1,2,3,3,1,3,0,2,0,2,1,1
C47          ,2,0,5,0,1,1,3,1,1,3,1,1,1,1,0,1,2,1,1, 
C48          ,1,3,4,0,1,1,1,3,2,4,4,4,5,8,20,21,13,12,7,10
